file_name,page_num,text,clean_text,tokens,subjectivity_score,date,bank,title,topic
12 31 2022_jpmorgan_asset management Q1 2023,1,,,[],0.0,12 31 2022,jpmorgan,asset management Q1 2023,0
12 31 2022_jpmorgan_asset management Q1 2023,2,"Clara Cheong
Singapore
Nimish Vyas
New York
Vincent Juvyns
Luxembourg
Tilmann Galler, CFA
Frankfurt
Maria Paola Toschi
Milan
Shogo Maekawa
Tokyo
Zara Nokes
London
Kerry Craig, CFA
Melbourne
Karen Ward
London
Chaoping Zhu, 
CFA
Shanghai
Natasha May
London
Michael Bell, CFA
London
Stephanie Aliaga
New York
David Lebovitz
New York
Meera Pandit, CFA
New York
Max McKechnie
London
Hugh Gimber, CFA
London
Agnes Lin
Taipei
Gabriela Santos
New York
Jack Manley
New York
Dr. David Kelly, CFA
New York
Jordan Jackson
New York
Olivia Schubert
New York
Americas
Europe
Asia
Tai Hui
Hong Kong
Marcella Chow
Hong Kong
Ian Hui
Hong Kong
Adrian Tong 
Hong Kong
Sahil Gauba
Mumbai
Lucia Gutierrez Mellado
Madrid
Elena Domecq
Madrid
",clara cheong singapor nimish vya york vincent juvyn luxembourg tilmann galler cfa frankfurt maria paola toschi milan shogo maekawa tokyo zara noke london kerri craig cfa melbourn karen ward london chaop zhu cfa shanghai natasha london michael bell cfa london stephani aliaga york david lebovitz york meera pandit cfa york max mckechni london hugh gimber cfa london agn lin taipei gabriela santo york jack manley york dr david kelli cfa york jordan jackson york olivia schubert york america europ asia tai hui hong kong marcella chow hong kong ian hui hong kong adrian tong hong kong sahil gauba mumbai lucia gutierrez mellado madrid elena domecq madrid,"['clara', 'cheong', 'singapore', 'nimish', 'vyas', 'york', 'vincent', 'juvyns', 'luxembourg', 'tilmann', 'galler', 'cfa', 'frankfurt', 'maria', 'paola', 'toschi', 'milan', 'shogo', 'maekawa', 'tokyo', 'zara', 'nokes', 'london', 'kerry', 'craig', 'cfa', 'melbourne', 'karen', 'ward', 'london', 'chaoping', 'zhu', 'cfa', 'shanghai', 'natasha', 'london', 'michael', 'bell', 'cfa', 'london', 'stephanie', 'aliaga', 'york', 'david', 'lebovitz', 'york', 'meera', 'pandit', 'cfa', 'york', 'max', 'mckechnie', 'london', 'hugh', 'gimber', 'cfa', 'london', 'agnes', 'lin', 'taipei', 'gabriela', 'santos', 'york', 'jack', 'manley', 'york', 'dr', 'david', 'kelly', 'cfa', 'york', 'jordan', 'jackson', 'york', 'olivia', 'schubert', 'york', 'americas', 'europe', 'asia', 'tai', 'hui', 'hong', 'kong', 'marcella', 'chow', 'hong', 'kong', 'ian', 'hui', 'hong', 'kong', 'adrian', 'tong', 'hong', 'kong', 'sahil', 'gauba', 'mumbai', 'lucia', 'gutierrez', 'mellado', 'madrid', 'elena', 'domecq', 'madrid']",0.45454545454545453,12 31 2022,jpmorgan,asset management Q1 2023,1
12 31 2022_jpmorgan_asset management Q1 2023,3,,,[],0.0,12 31 2022,jpmorgan,asset management Q1 2023,0
12 31 2022_jpmorgan_asset management Q1 2023,4,"S&P 500 Price Index
600
900
1,200
1,500
1,800
2,100
2,400
2,700
3,000
3,300
3,600
3,900
4,200
4,500
4,800
'96
'97
'98
'99
'00
'01
'02
'03
'04
'05
'06
'07
'08
'09
'10
'11
'12
'13
'14
'15
'16
'17
'18
'19
'20
'21
+106%
-49%
+101%
-57%
+401%
-34%
+114%
Dec. 31, 1996
P/E (fwd.) = 15.9x
741
Oct. 9, 2002
P/E (fwd.) = 14.1x
777
Mar. 24, 2000
P/E (fwd.) = 25.2x
1,527
Oct. 9, 2007
P/E (fwd.) = 15.1x
1,565
Mar. 9, 2009
P/E (fwd.) = 10.4x
677
Feb. 19, 2020 
P/E (fwd.) = 19.2x
3,386
Mar. 23, 2020
P/E (fwd.) = 13.3x
2,237
Dec. 31, 2022
P/E (fwd.) = 16.7x
3,840
Characteristic
3/24/2000 10/9/2007 2/19/2020
1/3/2022
12/31/2022
Index Level
1,527
1,565
3,386
4,797
3,840
P/E Ratio (fwd.)
25.2x
15.1x
19.2x
21.4x
16.7x
Dividend Yield
1.4%
1.9%
1.9%
1.3%
1.8%
10-yr. Treasury
6.2%
4.7%
1.6%
1.6%
3.9%
-20%
Jan. 3, 2022
P/E (fwd.) = 21.4x
4,797
",price dec fwd oct fwd mar fwd oct fwd mar fwd feb fwd mar fwd dec fwd characterist level ratio fwd dividend yield yr treasuri jan fwd,"['price', 'dec', 'fwd', 'oct', 'fwd', 'mar', 'fwd', 'oct', 'fwd', 'mar', 'fwd', 'feb', 'fwd', 'mar', 'fwd', 'dec', 'fwd', 'characteristic', 'level', 'ratio', 'fwd', 'dividend', 'yield', 'yr', 'treasury', 'jan', 'fwd']",0.4666666666666666,12 31 2022,jpmorgan,asset management Q1 2023,1
12 31 2022_jpmorgan_asset management Q1 2023,5,"S&P 500 Index: Forward P/E ratio
8x
10x
12x
14x
16x
18x
20x
22x
24x
26x
28x
'97
'99
'01
'03
'05
'07
'09
'11
'13
'15
'17
'19
'21
25-year average: 16.82x
-1 Std. dev.: 13.47x
+1 Std. dev.: 20.16x
Valuation measure
Description
Latest
25-year avg.*
Std. dev. Over-
/under-Valued
P/E
Forward P/E
16.65x
16.82x
-0.05
CAPE
Shiller's P/E
27.96x
27.93x
0.01
Div. Yield
Dividend yield
1.81%
1.99%
0.53
P/B
Price to book
3.42x
3.10x
0.40
P/CF
Price to cash flow
12.42x
11.19x
0.56
EY Spread
EY minus Baa yield
0.17%
0.27%
0.05
Dec. 31, 2022:
16.65x
",ratio averag std dev std dev valuat measur descript avg std dev valu cape shiller div yield dividend yield price book price cash flow ey spread ey baa yield dec,"['ratio', 'average', 'std', 'dev', 'std', 'dev', 'valuation', 'measure', 'description', 'avg', 'std', 'dev', 'valued', 'cape', 'shiller', 'div', 'yield', 'dividend', 'yield', 'price', 'book', 'price', 'cash', 'flow', 'ey', 'spread', 'ey', 'baa', 'yield', 'dec']",0.46666666666666673,12 31 2022,jpmorgan,asset management Q1 2023,1
12 31 2022_jpmorgan_asset management Q1 2023,6,"Forward P/E and subsequent 1-yr. returns
Forward P/E and subsequent 5-yr. annualized returns
S&P 500 Total Return Index
S&P 500 Total Return Index
-60%
-40%
-20%
0%
20%
40%
60%
8.0x
11.0x
14.0x
17.0x
20.0x
23.0x
26.0x
R2  = 5%
Dec. 31, 2022: 16.7x
-60%
-40%
-20%
0%
20%
40%
60%
8.0x
11.0x
14.0x
17.0x
20.0x
23.0x
26.0x
R2  = 35%
Dec. 31, 2022: 16.7x
",subsequ yr return subsequ yr annual return total return total return dec dec,"['subsequent', 'yr', 'returns', 'subsequent', 'yr', 'annualized', 'returns', 'total', 'return', 'total', 'return', 'dec', 'dec']",0.4,12 31 2022,jpmorgan,asset management Q1 2023,0
12 31 2022_jpmorgan_asset management Q1 2023,7,"S&P 500 earnings per share
Average analyst over/underestimate of annual earnings
Index annual operating earnings
S&P 500, pro-forma EPS, 1996 - 2021
-0.7%
4.2%
3.1%
2.5%
5.7%
6.9%
7.3%
6.9%
5.5%
2.9%
2.2%
1.6%
0.1%
-2%
-1%
0%
1%
2%
3%
4%
5%
6%
7%
8%
9%
-8Q
-7Q
-6Q
-5Q
-4Q
-3Q
-2Q
-1Q
Start
of year
+1Q
+2Q
+3Q
+4Q
$0
$25
$50
$75
$100
$125
$150
$175
$200
$225
$250
$275
'88
'91
'94
'97
'00
'03
'06
'09
'12
'15
'18
'21
'24
Consensus analyst estimates
Earnings recessions
Analysts overestimate earnings
Analysts underestimate earnings
",earn share averag analyst underestim annual earn annual oper earn pro forma ep start consensus analyst estim earn recess analyst overestim earn analyst underestim earn,"['earnings', 'share', 'average', 'analyst', 'underestimate', 'annual', 'earnings', 'annual', 'operating', 'earnings', 'pro', 'forma', 'eps', 'start', 'consensus', 'analyst', 'estimates', 'earnings', 'recessions', 'analysts', 'overestimate', 'earnings', 'analysts', 'underestimate', 'earnings']",0.39999999999999997,12 31 2022,jpmorgan,asset management Q1 2023,1
12 31 2022_jpmorgan_asset management Q1 2023,8,"S&P 500 year-over-year operating EPS growth
Annual growth broken into revenue, changes in profit margin & changes in share count
-31%
19%
19%
24%
13%
15%
-6%
-40%
15%
47%
15%
0%
11%
5%
-11%
6%
17%
22%
4%
-22%
70%
-4%
-60%
-40%
-20%
0%
20%
40%
60%
80%
100%
'01
'02
'03
'04
'05
'06
'07
'08
'09
'10
'11
'12
'13
'14
'15
'16
'17
'18
'19
'20
'21
'22
2022*
Share of EPS growth
2022
Avg. '01-'21
Margin
-14.3%
5.1%
Revenue
9.3%
3.8%
Share count
1.1%
0.2%
Total EPS
-3.9%
9.1%
",oper ep growth annual growth broken revenu profit margin share count share ep growth avg margin revenu share count total ep,"['operating', 'eps', 'growth', 'annual', 'growth', 'broken', 'revenue', 'profit', 'margin', 'share', 'count', 'share', 'eps', 'growth', 'avg', 'margin', 'revenue', 'share', 'count', 'total', 'eps']",0.575,12 31 2022,jpmorgan,asset management Q1 2023,1
12 31 2022_jpmorgan_asset management Q1 2023,9,"S&P 500 profit margins
Pricing, wages, and sales expectations for businesses
Quarterly operating earnings/sales
NFIB Small Business Economic Survey, three-month moving average  
-30%
-20%
-10%
0%
10%
20%
30%
40%
50%
60%
'92 '94 '96 '98 '00 '02 '04 '06 '08 '10 '12 '14 '16 '18 '20 '22
0%
2%
4%
6%
8%
10%
12%
14%
'92
'94
'96
'98
'00
'02
'04
'06
'08
'10
'12
'14
'16
'18
'20
'22
Recession
3Q22*:
11.3%
Plans to increase compensation in next 3 months
Net % of companies with:
Plans to increase pricing in next 3 months
Higher sales expectations in next 3 months
",profit margin price wage sale expect busi quarter oper earn sale nfib busi econom survey month move averag recess plan increas compens month compani plan increas price month sale expect month,"['profit', 'margins', 'pricing', 'wages', 'sales', 'expectations', 'businesses', 'quarterly', 'operating', 'earnings', 'sales', 'nfib', 'business', 'economic', 'survey', 'month', 'moving', 'average', 'recession', 'plans', 'increase', 'compensation', 'months', 'companies', 'plans', 'increase', 'pricing', 'months', 'sales', 'expectations', 'months']",0.1875,12 31 2022,jpmorgan,asset management Q1 2023,0
12 31 2022_jpmorgan_asset management Q1 2023,10,"Value vs. Growth relative valuations
S&P 500 operating leverage by sector
Rel. fwd. P/E ratio of Value vs. Growth, 1997 - present
Impact on operating income from a 1% rise in revenues
0.00
0.20
0.40
0.60
0.80
1.00
1.20
1.40
'97
'99
'01
'03
'05
'07
'09
'11
'13
'15
'17
'19
'21
Dec. 31, 2022: 
0.66
Recession
Value cheap/Growth 
expensive
Growth cheap/Value 
expensive
Style
Current
Long-
term avg.*
Current
Long-
term avg.*
Value
13.95x
14.08x
2.35%
2.59%
Growth
21.14x
20.73x
1.16%
1.34%
Forward PE
Div. yield**
Long-term avg.*:  0.72
0.1x
0.5x
0.8x
1.2x
1.2x
1.3x
1.4x
1.5x
4.2x
6.8x
8.9x
0.0x
2.0x
4.0x
6.0x
8.0x
10.0x
Real Estate
Industrials
Comm. Services
Cons. Disc.
Utilities
Health Care
Tech.
Cons. Staples
Materials
Financials
Energy
Growth
Value
",growth relat valuat oper leverag sector rel fwd ratio growth impact oper incom rise revenu dec recess cheap growth expens growth cheap expens style current term avg current term avg growth div yield term avg real estat industri comm servic con disc util health care tech con stapl materi financi energi growth,"['growth', 'relative', 'valuations', 'operating', 'leverage', 'sector', 'rel', 'fwd', 'ratio', 'growth', 'impact', 'operating', 'income', 'rise', 'revenues', 'dec', 'recession', 'cheap', 'growth', 'expensive', 'growth', 'cheap', 'expensive', 'style', 'current', 'term', 'avg', 'current', 'term', 'avg', 'growth', 'div', 'yield', 'term', 'avg', 'real', 'estate', 'industrials', 'comm', 'services', 'cons', 'disc', 'utilities', 'health', 'care', 'tech', 'cons', 'staples', 'materials', 'financials', 'energy', 'growth']",0.36666666666666664,12 31 2022,jpmorgan,asset management Q1 2023,1
